scenario,sample_id,fault_label,risk_level,sensitivity_level,predicted_state,confidence,model_uncertainty,selected_node,decision_type,data_form,maintenance_action,expected_latency_ms,privacy_risk,trust_status,audit_required,decision_reason
normal,AE_0014_bb8390,impact,high,internal,critical,0.7333,0.2667,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0015_d36ee0,friction,medium,internal,warning,0.9667,0.0333,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0016_81821a,leakage,low,non_transferable,warning,0.9547,0.0453,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0017_4a8c47,friction,critical,low_risk,warning,1.0,0.0,sensor,local_decision,summary,request_operator_check,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0018_4ff50d,crack_growth,critical,non_transferable,critical,0.6333,0.3667,local_edge,local_decision,feature,safe_shutdown,15,medium,trusted,True,non_transferable: forbidden nodes excluded | critical+short_deadline → local_edge
normal,AE_0019_15a1bf,leakage,medium,non_transferable,warning,0.9747,0.0253,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0020_bbf355,impact,high,non_transferable,critical,0.9222,0.0778,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0021_0a2b7a,leakage,medium,confidential,warning,0.9691,0.0309,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0022_94480b,cavitation,high,non_transferable,critical,0.9357,0.0643,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0023_191fb1,friction,high,non_transferable,warning,1.0,0.0,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0024_f6f4d3,leakage,low,non_transferable,warning,0.9747,0.0253,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0025_3c9ae5,impact,critical,non_transferable,critical,1.0,0.0,local_edge,local_decision,feature,safe_shutdown,15,medium,trusted,True,non_transferable: forbidden nodes excluded | critical+short_deadline → local_edge
normal,AE_0026_42fbce,leakage,high,low_risk,warning,0.7855,0.2145,sensor,local_decision,summary,request_operator_check,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0027_a5e2e4,crack_growth,critical,non_transferable,critical,0.9444,0.0556,local_edge,local_decision,feature,safe_shutdown,15,medium,trusted,True,non_transferable: forbidden nodes excluded | critical+short_deadline → local_edge
normal,AE_0028_866a74,leakage,critical,non_transferable,warning,0.8924,0.1076,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0029_5c46de,impact,critical,non_transferable,critical,0.9333,0.0667,local_edge,local_decision,feature,safe_shutdown,15,medium,trusted,True,non_transferable: forbidden nodes excluded | critical+short_deadline → local_edge
normal,AE_0030_ba2474,crack_growth,medium,non_transferable,critical,0.8778,0.1222,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0031_06d780,leakage,high,non_transferable,warning,0.8535,0.1465,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0032_c018fd,cavitation,medium,confidential,critical,0.9357,0.0643,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0033_4b701f,normal,low,confidential,normal,0.9917,0.0083,sensor,local_decision,summary,continue_operation,1,medium,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0034_c81b07,normal,low,confidential,normal,0.9917,0.0083,sensor,local_decision,summary,continue_operation,1,medium,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0035_faae6f,crack_growth,medium,confidential,critical,0.9778,0.0222,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0036_aad2a0,leakage,low,internal,warning,0.8895,0.1105,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0037_cc4932,impact,medium,confidential,critical,0.8,0.2,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0038_602614,leakage,medium,confidential,warning,0.908,0.092,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0039_2bee97,friction,medium,internal,warning,1.0,0.0,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0040_d1b5dc,cavitation,low,internal,critical,0.95,0.05,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0041_ab61b6,leakage,low,confidential,warning,0.958,0.042,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0042_2a001f,crack_growth,medium,low_risk,critical,0.9444,0.0556,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0043_8d922c,leakage,low,internal,warning,0.938,0.062,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0044_6d9d01,friction,critical,confidential,warning,1.0,0.0,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0045_d86f60,crack_growth,high,low_risk,critical,1.0,0.0,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0046_01cc23,impact,medium,low_risk,critical,1.0,0.0,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0047_aa3b20,cavitation,medium,internal,critical,0.969,0.031,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0048_62bbc3,impact,low,confidential,critical,1.0,0.0,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0049_394483,normal,low,low_risk,normal,0.9917,0.0083,sensor,local_decision,summary,continue_operation,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0050_b4d73b,leakage,high,internal,warning,0.779,0.221,sensor,local_decision,summary,request_operator_check,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0051_b247db,leakage,high,confidential,warning,0.9257,0.0743,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0052_96a0f4,crack_growth,low,internal,critical,0.9667,0.0333,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0053_5138dd,crack_growth,medium,low_risk,critical,1.0,0.0,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0054_b5bc35,impact,high,confidential,critical,1.0,0.0,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0055_83c0c3,friction,medium,low_risk,warning,1.0,0.0,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0056_545fed,cavitation,low,internal,critical,0.9667,0.0333,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0057_27f51d,friction,medium,low_risk,warning,1.0,0.0,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0058_495b47,leakage,medium,internal,warning,0.963,0.037,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0059_938de5,impact,critical,confidential,critical,0.9667,0.0333,local_edge,local_decision,feature,safe_shutdown,15,medium,trusted,True,critical+short_deadline → local_edge
normal,AE_0060_27f9c6,impact,medium,internal,critical,0.9667,0.0333,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0061_2550d5,leakage,low,internal,warning,0.9658,0.0342,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0062_69a937,impact,low,internal,critical,1.0,0.0,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0063_4579a1,leakage,medium,low_risk,warning,0.8785,0.1215,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0064_4cd56e,impact,high,internal,critical,1.0,0.0,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0065_d5dfdc,leakage,low,confidential,warning,0.9747,0.0253,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0066_b18d29,friction,high,confidential,warning,1.0,0.0,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0067_a50bcc,impact,medium,low_risk,critical,1.0,0.0,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0068_e8933c,friction,low,confidential,warning,0.9333,0.0667,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0069_d2ae21,friction,medium,internal,warning,1.0,0.0,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0070_f74ed4,normal,low,internal,normal,0.9917,0.0083,sensor,local_decision,summary,continue_operation,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0071_817c81,impact,low,low_risk,critical,0.9667,0.0333,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0072_460971,cavitation,medium,internal,critical,0.969,0.031,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0073_8f0e15,friction,high,low_risk,warning,1.0,0.0,sensor,local_decision,summary,request_operator_check,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0074_e0ac99,normal,low,low_risk,normal,0.9917,0.0083,sensor,local_decision,summary,continue_operation,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0075_7f2990,normal,medium,low_risk,normal,0.9917,0.0083,sensor,local_decision,summary,continue_operation,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0076_4fe466,crack_growth,high,low_risk,critical,0.9667,0.0333,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0077_d89f36,normal,medium,confidential,normal,0.9917,0.0083,sensor,local_decision,summary,continue_operation,1,medium,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0078_4f9989,impact,medium,internal,critical,1.0,0.0,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0079_b7397f,impact,low,internal,critical,0.9667,0.0333,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0000_ca6ed2,unknown_anomaly,high,non_transferable,unknown,0.5781999999999999,0.5218,sensor,local_decision,summary,increase_monitoring,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0001_881f3e,unknown_anomaly,high,confidential,unknown,0.58,0.52,sensor,local_decision,summary,increase_monitoring,2,medium,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0002_694d66,unknown_anomaly,critical,low_risk,unknown,0.6828,0.4172,sensor,local_decision,summary,increase_monitoring,2,low,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0003_4cda2b,friction,low,low_risk,warning,0.7833,0.3167,sensor,local_decision,summary,request_operator_check,2,low,untrusted,False,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0004_922623,cavitation,medium,internal,critical,0.619,0.481,sensor,local_decision,summary,safe_shutdown,2,low,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0005_80c4b6,unknown_anomaly,high,non_transferable,unknown,0.44889999999999997,0.6511,sensor,local_decision,summary,increase_monitoring,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0006_3a588e,leakage,low,non_transferable,warning,0.8158,0.2842,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0007_80dcf0,unknown_anomaly,high,internal,unknown,0.39239999999999997,0.7076,sensor,local_decision,summary,increase_monitoring,2,low,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0008_5a04cb,impact,critical,internal,critical,0.7389,0.3611,local_edge,local_decision,summary,safe_shutdown,80,low,low_trust,True,critical+short_deadline → local_edge | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0009_ebb329,crack_growth,low,non_transferable,critical,0.7833,0.3167,sensor,local_decision,summary,safe_shutdown,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0010_b7db4a,cavitation,high,non_transferable,critical,0.7857,0.3143,sensor,local_decision,summary,safe_shutdown,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0011_71e71b,impact,critical,low_risk,critical,0.85,0.25,local_edge,local_decision,summary,safe_shutdown,80,low,low_trust,True,critical+short_deadline → local_edge | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0012_a61675,impact,medium,non_transferable,critical,0.85,0.25,sensor,local_decision,summary,safe_shutdown,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0013_f773d9,leakage,critical,non_transferable,warning,0.7702,0.3298,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0014_bb8390,impact,high,internal,critical,0.5832999999999999,0.5166999999999999,sensor,local_decision,summary,safe_shutdown,2,low,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0015_d36ee0,friction,medium,internal,warning,0.8167,0.2833,sensor,local_decision,summary,request_operator_check,2,low,untrusted,False,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0016_81821a,leakage,low,non_transferable,warning,0.8047,0.2953,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0017_4a8c47,friction,critical,low_risk,warning,0.85,0.25,sensor,local_decision,summary,request_operator_check,2,low,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0018_4ff50d,crack_growth,critical,non_transferable,critical,0.48329999999999995,0.6167,local_edge,local_decision,summary,safe_shutdown,80,medium,low_trust,True,non_transferable: forbidden nodes excluded | critical+short_deadline → local_edge | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0019_15a1bf,leakage,medium,non_transferable,warning,0.8247,0.2753,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0020_bbf355,impact,high,non_transferable,critical,0.7722,0.3278,sensor,local_decision,summary,safe_shutdown,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0021_0a2b7a,leakage,medium,confidential,warning,0.8190999999999999,0.2809,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,False,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0022_94480b,cavitation,high,non_transferable,critical,0.7857,0.3143,sensor,local_decision,summary,safe_shutdown,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0023_191fb1,friction,high,non_transferable,warning,0.85,0.25,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0024_f6f4d3,leakage,low,non_transferable,warning,0.8247,0.2753,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0025_3c9ae5,impact,critical,non_transferable,critical,0.85,0.25,local_edge,local_decision,summary,safe_shutdown,80,medium,low_trust,True,non_transferable: forbidden nodes excluded | critical+short_deadline → local_edge | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0026_42fbce,leakage,high,low_risk,warning,0.6355,0.4645,sensor,local_decision,summary,request_operator_check,2,low,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0027_a5e2e4,crack_growth,critical,non_transferable,critical,0.7944,0.3056,local_edge,local_decision,summary,safe_shutdown,80,medium,low_trust,True,non_transferable: forbidden nodes excluded | critical+short_deadline → local_edge | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0028_866a74,leakage,critical,non_transferable,warning,0.7424,0.35760000000000003,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0029_5c46de,impact,critical,non_transferable,critical,0.7833,0.3167,local_edge,local_decision,summary,safe_shutdown,80,medium,low_trust,True,non_transferable: forbidden nodes excluded | critical+short_deadline → local_edge | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0030_ba2474,crack_growth,medium,non_transferable,critical,0.7278,0.3722,sensor,local_decision,summary,safe_shutdown,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0031_06d780,leakage,high,non_transferable,warning,0.7035,0.39649999999999996,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0032_c018fd,cavitation,medium,confidential,critical,0.7857,0.3143,sensor,local_decision,summary,safe_shutdown,2,medium,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0033_4b701f,normal,low,confidential,normal,0.8417,0.2583,sensor,local_decision,summary,continue_operation,2,medium,untrusted,False,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0034_c81b07,normal,low,confidential,normal,0.8417,0.2583,sensor,local_decision,summary,continue_operation,2,medium,untrusted,False,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0035_faae6f,crack_growth,medium,confidential,critical,0.8278,0.2722,sensor,local_decision,summary,safe_shutdown,2,medium,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0036_aad2a0,leakage,low,internal,warning,0.7394999999999999,0.3605,sensor,local_decision,summary,request_operator_check,2,low,untrusted,False,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0037_cc4932,impact,medium,confidential,critical,0.65,0.45,sensor,local_decision,summary,safe_shutdown,2,medium,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0038_602614,leakage,medium,confidential,warning,0.758,0.34199999999999997,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,False,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0039_2bee97,friction,medium,internal,warning,0.85,0.25,sensor,local_decision,summary,request_operator_check,2,low,untrusted,False,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0040_d1b5dc,cavitation,low,internal,critical,0.7999999999999999,0.3,sensor,local_decision,summary,safe_shutdown,2,low,untrusted,True,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
degraded,AE_0041_ab61b6,leakage,low,confidential,warning,0.8079999999999999,0.292,sensor,local_decision,summary,request_operator_check,2,medium,untrusted,False,auto_select: sensor (latency=2ms) | low_trust_destination → downgraded_data_form_to_summary
